ep_str,r_str,ep,r
Episode 313,Reward: 675.0,313,675
Episode 314,Reward: 675.0,314,675
Episode 315,Reward: 575.0,315,575
Episode 316,Reward: 675.0,316,675
Episode 317,Reward: 700.0,317,700
Episode 318,Reward: 650.0,318,650
Episode 319,Reward: 575.0,319,575
Episode 320,Reward: 675.0,320,675
Episode 321,Reward: 500.0,321,500
Episode 322,Reward: 525.0,322,525
Episode 323,Reward: 500.0,323,500
Episode 324,Reward: 475.0,324,475
Episode 325,Reward: 225.0,325,225
Episode 326,Reward: 550.0,326,550
Episode 327,Reward: 600.0,327,600
Episode 328,Reward: 400.0,328,400
Episode 329,Reward: 450.0,329,450
Episode 330,Reward: 575.0,330,575
Episode 331,Reward: 550.0,331,550
Episode 332,Reward: 675.0,332,675
Episode 333,Reward: 650.0,333,650
Episode 334,Reward: 625.0,334,625
Episode 335,Reward: 500.0,335,500
Episode 336,Reward: 200.0,336,200
Episode 337,Reward: 675.0,337,675
Episode 338,Reward: 150.0,338,150
Episode 339,Reward: 650.0,339,650
Episode 340,Reward: 625.0,340,625
Episode 341,Reward: 25.0,341,25
Episode 342,Reward: 675.0,342,675
Episode 343,Reward: 325.0,343,325
Episode 344,Reward: 650.0,344,650
Episode 345,Reward: 600.0,345,600
Episode 346,Reward: 525.0,346,525
Episode 347,Reward: 675.0,347,675
Episode 348,Reward: 650.0,348,650
Episode 349,Reward: 725.0,349,725
Episode 350,Reward: 700.0,350,700
Episode 351,Reward: 700.0,351,700
Episode 352,Reward: 600.0,352,600
Episode 353,Reward: 625.0,353,625
Episode 354,Reward: 600.0,354,600
Episode 355,Reward: 225.0,355,225
Episode 356,Reward: 600.0,356,600
Episode 357,Reward: 550.0,357,550
Episode 358,Reward: 575.0,358,575
Episode 359,Reward: 50.0,359,50
Episode 360,Reward: 425.0,360,425
Episode 361,Reward: 575.0,361,575
Episode 362,Reward: 650.0,362,650
Episode 363,Reward: 575.0,363,575
Episode 364,Reward: 525.0,364,525
Episode 365,Reward: 425.0,365,425
Episode 366,Reward: 250.0,366,250
Episode 367,Reward: 25.0,367,25
Episode 368,Reward: 350.0,368,350
Episode 369,Reward: 200.0,369,200
Episode 370,Reward: 750.0,370,750
Episode 371,Reward: 375.0,371,375
Episode 372,Reward: 325.0,372,325
Episode 373,Reward: 675.0,373,675
Episode 374,Reward: 375.0,374,375
Episode 375,Reward: 375.0,375,375
Episode 376,Reward: 425.0,376,425
Episode 377,Reward: 1075.0,377,1075
Episode 378,Reward: 375.0,378,375
Episode 379,Reward: 625.0,379,625
Episode 380,Reward: 1250.0,380,1250
Episode 381,Reward: 300.0,381,300
Episode 382,Reward: 600.0,382,600
Episode 383,Reward: 275.0,383,275
Episode 384,Reward: 550.0,384,550
Episode 385,Reward: 575.0,385,575
Episode 386,Reward: 675.0,386,675
Episode 387,Reward: 650.0,387,650
Episode 388,Reward: 675.0,388,675
Episode 389,Reward: 525.0,389,525
Episode 390,Reward: 525.0,390,525
Episode 391,Reward: 150.0,391,150
Episode 392,Reward: 525.0,392,525
Episode 393,Reward: 575.0,393,575
Episode 394,Reward: 650.0,394,650
Episode 395,Reward: 1150.0,395,1150
Episode 396,Reward: 550.0,396,550
Episode 397,Reward: 575.0,397,575
Episode 398,Reward: 525.0,398,525
Episode 399,Reward: 625.0,399,625
Episode 400,Reward: 525.0,400,525
Episode 401,Reward: 575.0,401,575
Episode 402,Reward: 1100.0,402,1100
Episode 403,Reward: 550.0,403,550
Episode 404,Reward: 600.0,404,600
Episode 405,Reward: 525.0,405,525
Episode 406,Reward: 600.0,406,600
Episode 407,Reward: 550.0,407,550
Episode 408,Reward: 475.0,408,475
Episode 409,Reward: 625.0,409,625
Episode 410,Reward: 500.0,410,500
Episode 411,Reward: 650.0,411,650
Episode 412,Reward: 625.0,412,625
Episode 413,Reward: 200.0,413,200
Episode 414,Reward: 600.0,414,600
Episode 415,Reward: 675.0,415,675
Episode 416,Reward: 550.0,416,550
Episode 417,Reward: 700.0,417,700
Episode 418,Reward: 650.0,418,650
Episode 419,Reward: 550.0,419,550
Episode 420,Reward: 550.0,420,550
Episode 421,Reward: 650.0,421,650
Episode 422,Reward: 275.0,422,275
Episode 423,Reward: 200.0,423,200
Episode 424,Reward: 675.0,424,675
Episode 425,Reward: 250.0,425,250
Episode 426,Reward: 575.0,426,575
Episode 427,Reward: 125.0,427,125
Episode 428,Reward: 150.0,428,150
Episode 429,Reward: 650.0,429,650
Episode 430,Reward: 650.0,430,650
Episode 431,Reward: 625.0,431,625
Episode 432,Reward: 900.0,432,900
Episode 433,Reward: 650.0,433,650
Episode 434,Reward: 575.0,434,575
Episode 435,Reward: 350.0,435,350
Episode 436,Reward: 600.0,436,600
Episode 437,Reward: 600.0,437,600
Episode 438,Reward: 600.0,438,600
Episode 439,Reward: 625.0,439,625
Episode 440,Reward: 600.0,440,600
Episode 441,Reward: 275.0,441,275
Episode 442,Reward: 775.0,442,775
Episode 443,Reward: 550.0,443,550
Episode 444,Reward: 550.0,444,550
Episode 445,Reward: 400.0,445,400
Episode 446,Reward: 525.0,446,525
Episode 447,Reward: 725.0,447,725
Episode 448,Reward: 275.0,448,275
Episode 449,Reward: 325.0,449,325
Episode 450,Reward: 750.0,450,750
Episode 451,Reward: 400.0,451,400
Episode 452,Reward: 300.0,452,300
Episode 453,Reward: 500.0,453,500
Episode 454,Reward: 150.0,454,150
Episode 455,Reward: 675.0,455,675
Episode 456,Reward: 700.0,456,700
Episode 457,Reward: 250.0,457,250
Episode 458,Reward: 275.0,458,275
Episode 459,Reward: 550.0,459,550
Episode 460,Reward: 250.0,460,250
Episode 461,Reward: 375.0,461,375
Episode 462,Reward: 600.0,462,600
Episode 463,Reward: 200.0,463,200
Episode 464,Reward: 225.0,464,225
Episode 465,Reward: 600.0,465,600
Episode 466,Reward: 625.0,466,625
Episode 467,Reward: 600.0,467,600
Episode 468,Reward: 550.0,468,550
Episode 469,Reward: 125.0,469,125
Episode 470,Reward: 525.0,470,525
Episode 471,Reward: 525.0,471,525
Episode 472,Reward: 550.0,472,550
Episode 473,Reward: 575.0,473,575
